"ntacode","ntaname","unit_area_acres","canopy_loss_acres","canopy_gain_acres","canopy_unchanged_acres","canopy2010_acres","canopy2017_acres","netcanopychange_acres","canopy2010percent","canopy2017percent","netcanopychange_percent","relativecanopychange_percent","treecount2015_all","treecount2015_notstump","treecount2015_alive","spc_mostcommon_living","roadmiles","livingtree_x_mile2015","med_dbh_living","cnt_dbh_lt6_living","pct_lt6_dbh_living","cnt_dbh_gt30_living","pct_gt30_dbh_living","max_capacity","stockingrate_2015_living","treeecount1995_notps_notstump","treecount1995_living","treecount2005_all","treecount2005_living"
"BK45","Georgetown-Marine Park-Bergen Beach-Mill Basin",1594.672129,81.02874692,73.63232806,225.1220719,306.1508188,298.7544,-7.396418861,19.19835515,18.73453449,-0.463820664,-2.415939598,7188,7035,6965,"London planetree",55.89,124.62,15,1614,23.173,309,4.436,8549,0.8147,5011,4930,6778,6730
"BK46","Ocean Parkway South",408.2207293,14.0597921,21.2245179,55.8075199,69.867312,77.0320378,7.164725807,17.11508186,18.87019259,1.755110726,10.25476092,2545,2499,2474,"London planetree",16.87,146.68,11,746,30.154,117,4.729,2885,0.8575,1519,1503,2293,2281
"BK50","Canarsie",1884.730891,102.497829,95.94404889,268.7737093,371.2715383,364.7177582,-6.553780077,19.69891512,19.35118483,-0.347730284,-1.765225556,5991,5741,5634,"London planetree",67.22,83.81,16,1233,21.885,157,2.787,9079,0.6206,5479,5387,6490,6437
"BK58","Flatlands",1247.515518,42.62083006,61.64728899,176.1739254,218.7947555,237.8212144,19.02645893,17.53843959,19.06358766,1.525148076,8.696030617,5585,5396,5308,"London planetree",58.59,90.59,16,903,17.012,288,5.426,7798,0.6807,4266,4081,5216,5144
"BK60","Prospect Lefferts Gardens-Wingate",726.3299207,21.70312188,35.94378374,83.93056705,105.6336889,119.8743508,14.24066187,14.54348581,16.5041185,1.960632691,13.48117443,3052,2998,2925,"London planetree",27.93,104.74,11,839,28.684,110,3.761,3972,0.7364,1788,1761,2479,2446
"BK61","Crown Heights North",1185.054059,35.07076502,74.21693455,176.6084114,211.6791764,250.825346,39.14616953,17.86240677,21.1657303,3.303323528,18.49316035,6410,6261,6181,"honeylocust",53.03,116.56,10,1589,25.708,149,2.411,7793,0.7931,3601,3480,4402,4343
"BK63","Crown Heights South",367.0773379,8.466972564,17.36171895,42.90377174,51.37074431,60.26549069,8.894746381,13.99452895,16.41765494,2.423125991,17.31480924,1981,1948,1917,"London planetree",16.71,114.75,11,464,24.204,71,3.704,2449,0.7828,1173,1166,2222,2199
"BK64","Prospect Heights",234.8243395,8.28378285,14.78408685,34.24762264,42.53140549,49.03170949,6.500303999,18.112009,20.88016498,2.768155981,15.28353912,1503,1474,1463,"honeylocust",10.47,139.73,10,354,24.197,10,0.684,1743,0.8394,570,565,1326,1298
"BK68","Fort Greene",378.3935118,10.95830469,26.15863565,79.7671579,90.72546259,105.9257935,15.20033095,23.97648474,27.99355439,4.017069659,16.75420606,2044,2005,1967,"London planetree",18.4,106.91,11,483,24.555,31,1.576,2440,0.8061,1343,1319,1382,1371
"BK69","Clinton Hill",471.2631647,17.66905794,32.6657151,82.28162741,99.95068536,114.9473425,14.99665715,21.20910201,24.39132763,3.182225617,15.00405635,2948,2874,2835,"London planetree",22.43,126.37,11,838,29.559,46,1.623,3314,0.8555,1800,1764,1747,1743
"BK72","Williamsburg",266.0695109,6.599846698,16.05196987,39.27816585,45.87801255,55.33013572,9.452123168,17.24286725,20.79536867,3.552501426,20.60273025,1643,1618,1595,"London planetree",14.71,108.44,11,294,18.433,28,1.755,2075,0.7687,903,853,1495,1475
"BK73","North Side-South Side",662.7587037,9.569752337,35.71382013,51.33136905,60.90112139,87.04518918,26.14406779,9.189033814,13.13376779,3.94473398,42.92871329,3473,3420,3271,"honeylocust",33.73,96.98,7,1343,41.058,41,1.253,4430,0.7384,1347,1267,2170,2156
"BK75","Bedford",749.0768954,20.67084682,49.79253264,103.6911893,124.3620361,153.483722,29.12168582,16.60203871,20.48971513,3.887676418,23.41686154,3702,3646,3588,"honeylocust",34.76,103.21,8,1377,38.378,34,0.948,4644,0.7726,1596,1531,2160,2144
"BK76","Greenpoint",810.8799643,11.01046062,33.0594096,50.10127178,61.1117324,83.16068138,22.04894899,7.536470882,10.25560934,2.719138461,36.07973154,3387,3350,3292,"honeylocust",35.11,93.76,8,983,29.86,10,0.304,4428,0.7435,1072,1044,2620,2582
"BK77","Bushwick North",572.26771,12.21333172,29.06584999,42.83475677,55.04808849,71.90060677,16.85251827,9.619289632,12.56415582,2.944866184,30.61417523,3451,3371,3245,"honeylocust",28.77,112.8,6,1615,49.769,31,0.955,4114,0.7888,858,830,1416,1376
